,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed
11,576295,28,20000459,1,2019,Lou Williams,LAC,SG,1,20000028,2019-06-24T22:18:50,75,2645.2,2269,55,551.3,1296.2,48.4,53.6,431.7,964.7,50.9,119.6,331.4,41.1,484.1,552.4,99.8,45.6,207.3,252.9,2.8,10.7,7.7,457.9,64.9,12.5,206.2,91.1,1706.2,1539.2,63.1,28.9,37.6,1.8,0.6,13.5,37.2,2722.7,2834.4,2722.7,222.1,9.1,1.3,2834.4,False
12,575662,18,20000460,1,2019,Patrick Patterson,OKC,PF,5,20000018,2019-06-24T22:18:50,63,555.7,980,40,93.4,249.4,42.6,54.6,41.0,93.4,50.0,52.4,156.0,38.3,21.6,34.2,72.1,47.8,119.6,167.4,6.3,14.8,10.0,35.3,18.2,14.8,25.1,52.4,260.8,264.5,56.3,11.1,5.9,1.1,1.7,11.2,13.7,588.7,602.8,588.7,-125.3,0.0,0.0,602.8,False
13,576296,4,20000464,1,2019,James Johnson,MIA,PF,33,20000004,2019-06-24T22:18:50,55,1015.6,1325,57,186.8,431.7,49.3,56.8,129.8,262.0,56.5,57.0,169.7,38.3,57.0,79.7,81.3,25.1,175.4,200.5,2.6,16.0,10.4,153.8,39.9,30.8,84.3,129.8,487.5,466.8,59.5,14.7,19.3,1.9,2.7,17.4,20.4,1086.3,1096.3,1086.3,-119.6,0.0,0.0,1096.3,False
14,649809,21,20000466,1,2019,Bruno Caboclo,MEM,SF,19,20000021,2019-06-24T22:18:50,34,686.4,910,47,109.3,256.3,48.6,60.7,54.7,108.2,57.5,54.7,148.1,42.0,47.8,57.0,95.7,47.8,132.1,180.0,7.5,18.9,12.6,57.0,15.9,37.6,43.3,92.3,321.2,281.3,65.0,15.9,10.7,1.1,5.1,15.2,18.3,739.9,749.5,739.9,0.0,3.9,0.0,749.5,False
15,576297,23,20000468,1,2019,Anthony Davis,NO,PF,56,20000023,2019-06-24T22:18:50,56,3325.2,2106,66,603.7,1168.6,58.9,61.5,549.0,1003.5,62.3,54.7,165.2,37.7,391.8,493.2,90.4,198.2,567.2,765.4,11.2,31.3,21.4,248.3,100.2,153.8,127.6,150.3,1653.8,1385.6,68.0,40.8,21.7,2.9,7.7,10.9,33.7,3579.2,3517.8,3579.2,154.9,42.1,0.0,3517.8,False
16,576298,24,20000469,1,2019,Quincy Pondexter,SA,SG,0,20000024,2019-06-24T22:18:50,55,228.0,375,54,33.0,66.1,57.0,62.9,26.2,45.6,65.5,7.8,20.5,37.9,38.7,47.8,92.3,10.4,43.3,52.4,3.5,14.2,9.9,27.3,12.5,1.3,14.8,27.3,111.6,87.1,73.0,14.9,10.5,2.1,0.3,16.5,13.7,241.7,241.5,241.7,-21.6,0.0,0.0,241.5,False
17,577194,11,20000470,1,2019,Omer Asik,CHI,C,0,20000011,2019-06-24T22:18:50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
18,576299,22,20000471,1,2019,Eric Gordon,HOU,SG,53,20000022,2019-06-24T22:18:50,68,1731.4,2457,66,437.4,1068.4,46.6,59.8,191.4,385.0,56.6,246.0,683.4,41.0,135.5,173.1,89.2,19.4,149.2,168.6,1.1,8.9,4.9,146.9,46.7,30.8,102.5,162.9,1256.3,1144.6,62.5,16.0,10.7,1.2,1.4,10.7,25.2,1808.8,1914.1,1808.8,398.6,0.0,0.0,1914.1,False
19,576300,13,20000472,1,2019,Tyreke Evans,IND,SG,18,20000013,2019-06-24T22:18:50,69,1401.2,1596,65,292.7,751.7,44.3,51.0,205.0,505.7,46.1,87.7,246.0,40.5,131.0,182.2,81.9,37.6,191.4,228.9,3.5,14.8,10.3,189.1,66.1,20.5,134.4,134.4,804.1,831.9,55.0,16.0,19.9,2.6,1.5,15.8,30.2,1487.8,1525.4,1487.8,72.9,1.3,0.0,1525.4,False
20,576301,23,20000474,1,2019,Jrue Holiday,NO,PG,67,20000023,2019-06-24T22:18:50,67,3091.0,2736,0,623.0,1320.1,53.8,59.6,488.6,906.6,61.4,134.4,413.5,37.0,236.9,308.7,87.5,85.4,295.0,380.4,4.2,12.5,9.3,590.0,124.2,61.5,239.2,168.6,1617.4,1455.9,63.3,26.8,36.2,2.7,2.4,16.1,29.1,3276.7,3327.6,3276.7,263.1,20.5,0.0,3327.6,False
21,576302,4,20000475,1,2019,Ryan Anderson,MIA,PF,8,20000004,2019-06-24T22:18:50,25,173.5,366,22,23.9,78.6,34.6,42.9,13.7,33.0,47.2,10.3,45.6,25.6,13.7,18.2,85.4,20.5,41.0,61.5,7.7,13.6,10.2,21.6,5.2,1.3,15.9,28.5,71.8,86.6,47.2,7.4,10.1,0.8,0.4,17.7,13.7,179.2,189.6,179.2,-83.1,0.0,0.0,189.6,False
